Vehicle,ID,Time,Start Direction,End Direction,Movement,Vehicle Turn Movement,Valid,Direction Detected,Notes
Car,7,3:23,W,E,T,EBT,No,W->W,Cam jitter
Car,6,3:23,W,E,T,EBT,Yes,W->E,
Car,9,3:23,E,W,T,WBT,Yes,E->W,
Car,16,3:24,E,W,T,WBT,Yes,E->W,
Car,19,3:24,E,W,T,WBT,Yes,E->W,
Car,21,3:24,W,E,T,EBT,Yes,W->E,
Car,22,3:24,W,E,T,EBT,Yes,W->E,
Car,25,3:24,E,W,T,WBT,Yes,E->W,
Car,24,3:24,W,E,T,EBT,Yes,W->E,
Car,18,3:24,W,N,L,EBL,Yes,W->N,
Car,33,3:24,E,W,T,WBT,Yes,E->W,
Car,38,3:24,W,E,T,EBT,Yes,W->E,
Car,45,3:24,W,E,T,EBT,Yes,W->E,
Car,47,3:24,W,E,T,EBT,Yes,W->E,
Car,50,3:24,W,E,T,EBT,Yes,W->E,
Car,51,3:24,E,W,T,WBT,Yes,E->W,
Car,55,3:24,W,N,L,EBL,Yes,W->N,
Car,58,3:24,E,W,T,WBT,Yes,E->W,
Car,61/67/93,3:24,W,E,T,EBT,Yes,W->E,"Detected 3 IDs for same car (61 W->E // 67,93 W->W)"
Car,71,3:24,N,E,L,SBL,Yes,N->E,
Car,74,3:24,N,W,R,SBR,Yes,N->W,
Car,77,3:24,N,E,L,SBL,Yes,N->E,
Bike/Person,84,3:24,N,W,R,SBR,Undetected,,Motorbike
Car,89,3:25,E,W,T,WBT,Yes,E->W,
Car,97,3:25,E,W,T,WBT,Yes,E->W,
Car,87,3:25,W,E,T,EBT,Yes,W->E,
Car,106,3:25,E,W,T,WBT,No,W->W,Detected middle of intersection
Car,104,3:25,W,E,T,EBT,Yes,W->E,
Car,108,3:25,W,E,T,EBT,Yes,W->E,
Car,110,3:25,W,E,T,EBT,Yes,W->E,
Car,117,3:25,E,W,T,WBT,Yes,E->W,
Bus,123,3:25,W,E,T,EBT,No,E->W,Detected as car then bus
Car,122,3:25,E,W,T,WBT,Yes,E->W,
Car,124,3:25,W,S,R,EBR,Yes,W->S,
Car,127/126,3:25,E,W,T,WBT,No,W->W,"Detected as 127 first, then 126"
Car,128,3:25,W,E,T,EBT,Yes,W->E,
Car,131,3:25,W,E,T,EBT,Yes,W->E,
Car,132,3:25,E,W,T,WBT,Yes,E->W,
Car,133,3:25,W,E,T,EBT,Yes,W->E,
Car,138,3:25,E,W,T,WBT,Yes,E->W,
Car,140,3:25,W,E,T,EBT,Yes,W->E,
Car,142,3:25,W,E,T,EBT,Yes,W->E,
Car,144,3:25,E,W,T,WBT,Yes,E->W,
Car,149,3:25,W,E,T,EBT,Yes,W->E,
Car,152,3:25,E,W,T,WBT,No,W->W,Detected in middle of intersection
Car,151,3:25,W,E,T,EBT,Yes,W->E,
Car,155,3:26,W,E,T,EBT,Yes,W->E,
Car,158,3:26,E,W,T,WBT,Yes,E->W,
Bus,161,3:26,E,W,T,WBT,Undetected,,Detected in middle of intersection
Car,168,3:26,E,W,T,WBT,Yes,E->W,
Car,172,3:26,E,W,T,WBT,Yes,E->W,
Car,174,3:26,E,W,T,WBT,Yes,E->W,
Bus,177,3:26,W,E,T,EBT,Undetected,,Detected in middle of intersection
Car,178,3:26,E,W,T,WBT,Yes,E->W,
Car,176,3:26,W,E,T,EBT,Yes,W->E,
Car,183,3:26,E,W,T,WBT,Yes,E->W,
Car,180,3:26,W,E,T,EBT,Yes,W->E,
Car,192,3:26,E,W,T,WBT,Yes,E->W,
Car,185,3:26,W,E,T,EBT,Yes,W->E,
Car,199,3:26,E,W,T,WBT,No,W->W,Detected in middle of intersection
Car,217,3:26,W,E,T,EBT,Yes,W->E,
Car,225,3:26,N,E,L,SBL,Yes,N->E,
Car,234,3:26,N,W,R,SBR,Yes,N->W,
Car,246,3:26,N,W,R,SBR,Yes,N->W,
Car,223,3:26,W,E,T,EBT,Yes,W->E,
Car,251,3:26,W,N,L,EBL,Yes,W->N,
Car,264,3:27,W,E,T,EBT,Yes,W->E,
Car,257,3:27,E,W,T,WBT,Yes,E->W,
Car,263,3:27,E,W,T,WBT,Yes,E->W,
Car,266,3:27,W,E,T,EBT,Yes,W->E,
Car,270,3:27,W,E,T,EBT,Yes,W->E,
Car,271,3:27,W,E,T,EBT,Yes,W->E,
Bus,275,3:27,W,E,T,EBT,Yes,W->E,
Car,281,3:27,E,W,T,WBT,Yes,E->W,
Car,277,3:27,W,N,L,EBL,Yes,W->N,
Car,279,3:27,E,W,T,WBT,Yes,E->W,
Car,286,3:27,W,E,T,EBT,Yes,W->E,
Car,289,3:27,W,S,R,EBR,Yes,W->S,
Car,291,3:27,E,W,T,WBT,Yes,E->W,
Car,293,3:27,E,W,T,WBT,Yes,E->W,
Car,299,3:27,W,E,T,EBT,Yes,W->E,
Car,303,3:27,E,W,T,WBT,Yes,E->W,
Car,305,3:27,W,E,T,EBT,Yes,W->E,
Car,310,3:27,E,W,T,WBT,Yes,E->W,
Car,312,3:27,E,W,T,WBT,Yes,E->W,
Car,314,3:27,E,W,T,WBT,No,W->W,Detected in middle of intersection
Car,317,3:27,W,E,T,EBT,Yes,W->E,
Car,320,3:27,E,W,T,WBT,Yes,E->W,
Car,324,3:27,E,N,R,WBR,Yes,E->N,
Car,326,3:27,E,W,T,WBT,Yes,E->W,
Car,325,3:27,W,E,T,EBT,Yes,W->E,
Car,329,3:28,E,W,T,WBT,Yes,E->W,
Car,332,3:28,E,W,T,WBT,Yes,E->W,
Car,331,3:28,W,E,T,EBT,Yes,W->E,
Car,334,3:28,W,E,T,EBT,Yes,W->E,
Car,338,3:28,E,W,T,WBT,Yes,E->W,
Car,344,3:28,W,E,T,EBT,Yes,W->E,
Car,345,3:28,E,W,T,WBT,Yes,E->W,
Car,347,3:28,W,E,T,EBT,Yes,W->E,
Car,348,3:28,E,W,T,WBT,Yes,E->W,
Car,355,3:28,W,E,T,EBT,Yes,W->E,
Car,358,3:28,N,E,L,SBL,Yes,N->E,
Car,363,3:28,N,S,T,SBT,Yes,N->S,
Car,359,3:28,W,E,T,EBT,No,W->W,Truck blocked ID in middle
Car,376,3:28,E,W,T,WBT,Yes,E->W,
Car,381,3:28,E,W,T,WBT,Yes,E->W,
Car,384,3:29,E,W,T,WBT,Yes,E->W,
Car,388,3:29,W,E,T,EBT,Yes,W->E,
Car,392,3:29,W,E,T,EBT,Yes,W->E,
Car,396,3:29,W,E,T,EBT,Yes,W->E,
Car,402,3:29,E,W,T,WBT,Yes,E->W,
Car,403,3:29,W,E,T,EBT,Yes,W->E,
Car,405/411,3:29,W,E,T,EBT,No,W->W,Bus blocking ID
Bus,409,3:29,E,W,T,WBT,No,E->E,Detected in middle of intersection
Car,416,3:29,E,W,T,WBT,Yes,E->W,
Car,423,3:29,E,W,T,WBT,Yes,E->W,
Car,429,3:29,E,W,T,WBT,Yes,E->W,
Car,435,3:29,E,W,T,WBT,Yes,E->W,
Car,437,3:29,E,W,T,WBT,Yes,E->W,
Car,445,3:29,E,W,T,WBT,Yes,E->W,
Car,448,3:29,E,W,T,WBT,No,W->W,Stalled over crosswalk
Car,450,3:29,W,E,T,EBT,Yes,W->E,
Car,452,3:29,W,S,R,EBR,Yes,W->S,
Car,454,3:29,E,W,T,WBT,No,W->W,Stalled over crosswalk
Car,456,3:29,E,W,T,WBT,Yes,E->W,
Car,458,3:29,W,E,T,EBT,Yes,W->E,
Car,461,3:29,W,E,T,EBT,Yes,W->E,
Car,464,3:29,E,W,T,WBT,Yes,E->W,
Car,425,3:29,W,N,L,EBL,Yes,W->N,
Car,469,3:29,E,W,T,WBT,Yes,E->W,
Car,472,3:30,E,W,T,WBT,Yes,E->W,
Car,477,3:30,E,W,T,WBT,Yes,E->W,
Car,481,3:30,E,W,T,WBT,Undetected,,Detected in middle of intersection
Car,484,3:30,E,W,T,WBT,Yes,E->W,
Car,490,3:30,E,N,R,WBR,Yes,E->N,
Car,494,3:30,N,E,L,SBL,Yes,N->E,
Car,499,3:30,N,W,R,SBR,Undetected,,Changed IDs in middle of intersection
Car,508,3:30,N,W,R,SBR,Yes,N->W,
Car,500,3:30,W,E,T,EBT,Yes,W->E,
Car,513,3:30,N,W,R,SBR,Yes,N->W,
Car,504,3:30,W,E,T,EBT,Yes,W->E,
Car,517,3:30,E,W,T,WBT,Yes,E->W,
Car,515,3:30,W,E,T,EBT,Yes,W->E,
Car,519,3:30,W,E,T,EBT,Yes,W->E,
Car,522,3:30,E,W,T,WBT,Yes,E->W,
Car,523,3:30,W,E,T,EBT,Yes,W->E,
Car,527,3:30,E,W,T,WBT,Yes,E->W,
Car,530,3:30,E,W,T,WBT,No,W->W,
Car,532,3:30,W,E,T,EBT,Yes,W->E,
Car,535,3:31,E,W,T,WBT,Yes,E->W,
Car,536,3:31,E,W,T,WBT,Yes,E->W,
Car,533,3:31,W,E,T,EBT,Yes,W->E,
Car,545,3:31,E,N,R,WBR,Yes,E->N,
Car,551,3:31,W,E,T,EBT,Yes,W->E,
Car,553,3:31,E,W,T,WBT,Yes,E->W,
Car,611,3:31,W,N,L,EBL,Yes,W->N,
Car,556,3:31,E,N,R,WBR,Yes,E->N,
Car,558,3:31,W,E,T,EBT,Yes,W->E,
Car,561,3:31,E,W,T,WBT,Yes,E->W,
Car,565,3:31,W,E,T,EBT,Yes,W->E,
Car,566,3:31,E,N,R,WBR,Yes,E->N,
Car,570,3:31,E,W,T,WBT,Yes,E->W,
Car,571,3:31,W,E,T,EBT,Yes,W->E,
Car,574,3:31,E,W,T,WBT,Yes,E->W,
Car,576,3:31,E,W,T,WBT,Yes,E->W,
Car,580,3:31,E,W,T,WBT,Yes,E->W,
Car,578,3:31,W,E,T,EBT,Yes,W->E,
Car,584,3:31,E,W,T,WBT,Yes,E->W,
Car,591,3:31,E,W,T,WBT,Yes,E->W,
Car,588,3:31,W,E,T,EBT,Yes,W->E,
Car,596,3:31,E,W,T,WBT,Yes,E->W,
Car,597,3:31,W,E,T,EBT,Yes,W->E,
Car,599,3:31,W,E,T,EBT,Yes,W->E,
Car,602,3:31,E,W,T,WBT,Yes,E->W,
Bus,604,3:31,E,W,T,WBT,No,E->E,Detected in middle of intersection
Car,615,3:31,E,W,T,WBT,No,W->W,Detected in middle of intersection
Car,623,3:31,E,W,T,WBT,Yes,E->W,
Car,624,3:31,W,E,T,EBT,Yes,W->E,
Car,635,3:32,W,E,T,EBT,Yes,W->E,
Car,639,3:32,N,W,R,SBR,Yes,N->W,
Bus,654,3:32,S,E,R,NBR,No,E->E,
Car,658,3:32,E,W,T,WBT,Yes,E->W,
Car,656,3:32,W,E,T,EBT,Yes,W->E,
Car,664,3:32,W,E,T,EBT,Yes,W->E,
Car,666,3:32,W,E,T,EBT,Yes,W->E,
Car,670,3:32,E,W,T,WBT,Yes,E->W,
Car,672,3:32,W,E,T,EBT,Yes,W->E,
Car,675,3:32,E,W,T,WBT,Yes,E->W,
Car,676,3:32,W,E,T,EBT,Yes,W->E,
Car,679,3:32,E,W,T,WBT,Yes,E->W,
Car,684,3:32,E,W,T,WBT,Yes,E->W,
Car,689,3:32,E,W,T,WBT,Yes,E->W,
Car,682,3:32,W,E,T,EBT,Yes,W->E,
Car,687,3:32,W,E,T,EBT,Yes,W->E,
Car,694,3:32,E,W,T,WBT,No,W->W,Detected in middle of intersection
Car,702,3:33,E,W,T,WBT,Yes,E->W,
Car,696,3:33,W,E,T,EBT,Yes,W->E,
Car,709,3:33,W,E,T,EBT,Yes,W->E,
Car,712,3:33,W,E,T,EBT,Yes,W->E,
Car,717,3:33,W,E,T,EBT,Yes,W->E,
Car,719,3:33,E,W,T,WBT,Yes,E->W,
Car,722,3:33,E,W,T,WBT,Yes,E->W,
Car,723,3:33,W,E,T,EBT,Yes,W->E,
Car,724,3:33,E,W,T,WBT,Yes,E->W,
Car,728,3:33,W,E,T,EBT,Yes,W->E,
Car,733,3:33,E,W,T,WBT,Yes,E->W,
Car,736,3:33,E,W,T,WBT,Yes,E->W,
Car,737,3:33,W,E,T,EBT,Yes,W->E,
Car,745,3:33,E,N,R,WBR,No,N->N,Changed IDs in middle of intersection
Car,749,3:33,E,W,T,WBT,Yes,E->W,
Car,751,3:33,W,E,T,EBT,Yes,W->E,
Car,753,3:33,E,W,T,WBT,Yes,E->W,
Car,752,3:33,E,W,T,WBT,Yes,E->W,
Car,760,3:33,W,E,T,EBT,Yes,W->E,
Car,768,3:33,E,W,T,WBT,Yes,E->W,
Car,769,3:33,W,E,T,EBT,Yes,W->E,
Car,772,3:33,E,W,T,WBT,Yes,E->W,
Car,775,3:33,W,E,T,EBT,Yes,W->E,
Car,780,3:33,E,W,T,WBT,Yes,E->W,
Car,697,3:33,N,W,R,SBR,Yes,N->W,
Car,801,3:34,N,E,L,SBL,No,N->N,Changed IDs in middle of intersection
Car,788,3:34,W,E,T,EBT,Yes,W->E,
Car,798/842,3:34,W,E,T,EBT,No,W->W,Bus blocked ID
Car,810,3:34,W,S,R,EBR,Yes,W->S,
Car,826,3:34,E,W,T,WBT,Yes,E->W,
Car,837,3:34,W,S,R,EBR,Yes,W->S,
Car,843,3:34,W,E,T,EBT,Yes,W->E,
Bus,839,3:34,E,W,T,WBT,No,E->E,Detected in middle of intersection
Car,850,3:34,W,E,T,EBT,Yes,W->E,
Car,852,3:34,W,E,T,EBT,Yes,W->E,
Car,853,3:34,W,E,T,EBT,Yes,W->E,
Car,855,3:34,W,E,T,EBT,Yes,W->E,
Car,854,3:34,W,E,T,EBT,Yes,W->E,
Car,858,3:34,E,W,T,WBT,Yes,E->W,
Car,861,3:34,E,W,T,WBT,Yes,E->W,
Car,864,3:34,W,E,T,EBT,Yes,W->E,
Car,866,3:34,E,W,T,WBT,Yes,E->W,
Car,867,3:34,W,E,T,EBT,Yes,W->E,
Car,870,3:34,W,E,T,EBT,Yes,W->E,
Car,874,3:34,E,W,T,WBT,Yes,E->W,
Car,873,3:34,W,E,T,EBT,Yes,W->E,
Car,881,3:34,E,W,T,WBT,No,W->W,Detected in middle of intersection
Car,880,3:34,W,E,T,EBT,Yes,W->E,
Car,886,3:34,E,W,T,WBT,Yes,E->W,
Car,892,3:35,E,W,T,WBT,No,W->W,Detected in middle of intersection
Car,890,3:35,W,E,T,EBT,Yes,W->E,
Car,901,3:35,E,N,R,WBR,Yes,E->N,
Car,906,3:35,W,E,T,EBT,No,W->W,Went from 906 to 911
Car,908,3:35,E,W,T,WBT,Yes,E->W,
Car,915,3:35,E,W,T,WBT,Yes,E->W,
Car,914,3:35,W,E,T,EBT,Yes,W->E,
Car,920,3:35,W,E,T,EBT,Yes,W->E,
Car,926,3:35,E,W,T,WBT,Yes,E->W,
Car,932,3:35,W,E,T,EBT,Yes,W->E,
Car,936,3:35,E,W,T,WBT,Yes,E->W,
Car,943,3:35,E,W,T,WBT,Yes,E->W,
Car,944/946,3:35,W,E,T,EBT,Undetected,,Changed IDs in middle of intersection
Car,948,3:35,W,E,T,EBT,Yes,W->E,
Car,951,3:35,E,W,T,WBT,Yes,E->W,
Car,958,3:35,E,W,T,WBT,Yes,E->W,
Car,965,3:35,N,W,R,SBR,Yes,N->W,
Car,978,3:35,N,W,R,SBR,Yes,N->W,
Car,969,3:35,W,E,T,EBT,Yes,W->E,
Car,983,3:35,W,E,T,EBT,Yes,W->E,
Car,997,3:36,W,E,T,EBT,Yes,W->E,
Car,999,3:36,E,W,T,WBT,Yes,E->W,
Car,994,3:36,W,E,T,EBT,Yes,W->E,
Car,1005,3:36,E,W,T,WBT,No,W->W,Detected in middle of intersection
Car,1006,3:36,W,E,T,EBT,Yes,W->E,
Car,1008,3:36,E,W,T,WBT,Yes,E->W,
Car,1012,3:36,W,E,T,EBT,Yes,W->E,
Car,1014,3:36,E,W,T,WBT,Yes,E->W,
Car,1018,3:36,W,E,T,EBT,Yes,W->E,
Car,1021,3:36,E,W,T,WBT,Yes,E->W,
Car,1023,3:36,W,E,T,EBT,Yes,W->E,
Car,1025,3:36,E,W,T,WBT,Yes,E->W,
Car,1027,3:36,W,E,T,EBT,Yes,W->E,
